61;English cocker spaniel;
116;Parson russell terrier;
4;Akita;
10;Anatolian shepherd dog;
11;Australian cattle dog;
12;Australian shepherd;
17;Bearded collie;
18;Beauceron;
19;Bedlington terrier;
22;Belgian tervuren;
24;Bichon frise;
25;Black and tan coonhound;
26;Black russian terrier;
28;Bluetick coonhound;
35;Boykin spaniel;
41;Bullmastiff;
43;Canaan dog;
44;Cane corso;
49;Chinese crested;
50;Chinese shar-pei;
60;Dogue de bordeaux;
67;Finnish spitz;
73;German wirehaired pointer;
75;Glen of imaal terrier;
82;Havanese;
84;Icelandic sheepdog;
85;Irish red and white setter;
91;Japanese chin;
98;Leonberger;
100;Lowchen;
105;Neapolitan mastiff;
108;Norwegian buhund;
110;Norwegian lundehund;
112;Nova scotia duck tolling retriever;
119;Petit basset griffon vendeen;
120;Pharaoh hound;
125;Portuguese water dog;
131;Wirehaired pointing griffon;
132;Xoloitzcuintli;
136;Jack Russell Terrier;
143;Maltipoo;
144;Yorkiepoo;
145;Cockapoo;
146;Goldendoodle;
147;Shiba Inu;
149;Morkie;
150;Schnoodle;
151;Catahoula Leopard;
152;Toy Fox Terrier;
153;Pom-Chi;
