101;Maltese;n02085936
117;Pekingese;n02086079
134;Shih Tzu;n02086240
64;English toy spaniel;n02086478
46;Cavalier king charles spaniel;n02086753
115;Papillon;n02086910
2;Afghan hound;n02088094
15;Basset hound;n02088238
16;Beagle;n02088364
27;Bloodhound;n02088466
56;Dachshund;n02089232
7;American foxhound;n02089725
121;Plott;n02090253
31;Borzoi;n02090622
89;Irish wolfhound;n02090721
81;Greyhound;n02090827
90;Italian greyhound;n02091032
83;Ibizan hound;n02091244
109;Norwegian elkhound;n02091467
114;Otterhound;n02091635
148;Weimaraner;n02092339
39;Bull terrier;n02093056
8;American staffordshire terrier;n02093428
137;American Pit Bull Terrier;n02093428
20;Belgian malinois;n02093647
30;Border terrier;n02093754
93;Kerry blue terrier;n02093859
87;Irish terrier;n02093991
107;Norfolk terrier;n02094114
111;Norwich terrier;n02094258
133;Yorkshire terrier;n02094433
141;Rat Terrier;n02094562
102;Manchester terrier;n02094721
128;Smooth fox terrier;n02095212
97;Lakeland terrier;n02095570
3;Airedale terrier;n02096051
42;Cairn terrier;n02096177
13;Australian terrier;n02096294
58;Dandie dinmont terrier;n02096437
32;Boston terrier;n02096585
104;Miniature schnauzer;n02097047
74;Giant schnauzer;n02097130
127;Silky terrier;n02097658
142;West Highland White Terrier;n02098286
99;Lhasa apso;n02098413
68;Flat-coated retriever;n02099267
55;Curly-coated retriever;n02099429
76;Golden retriever;n02099601
96;Labrador retriever;n02099712
47;Chesapeake bay retriever;n02099849
122;Pointer;n02099997
72;German shorthaired pointer;n02100236
62;English setter;n02100735
86;Irish setter;n02100877
77;Gordon setter;n02101006
52;Clumber spaniel;n02101556
66;Field spaniel;n02101670
63;English springer spaniel;n02102040
130;Welsh springer spaniel;n02102177
53;Cocker spaniel;n02102318
9;American water spaniel;n02102806
88;Irish water spaniel;n02102973
95;Kuvasz;n02104029
21;Belgian sheepdog;n02104882
36;Briard;n02105251
94;Komondor;n02105505
113;Old english sheepdog;n02105641
54;Collie;n02106030
29;Border collie;n02106166
33;Bouvier des flandres;n02106382
139;Rottweiler;n02106550
71;German shepherd dog;n02106662
70;German pinscher;n02106966
59;Doberman pinscher;n02107142
140;Miniature Pinscher;n02107312
80;Greater swiss mountain dog;n02107574
23;Bernese mountain dog;n02107683
65;Entlebucher mountain dog;n02108000
34;Boxer;n02108089
103;Mastiff;n02108254
129;Tibetan mastiff;n02108551
40;Bulldog;n02108672
69;French bulldog;n02108915
78;Great dane;n02109047
126;Saint bernard;n02109525
6;American eskimo dog;n02109961
5;Alaskan malamute;n02110063
138;Siberian Husky;n02110185
57;Dalmatian;n02110341
1;Affenpinscher;n02110627
14;Basenji;n02110806
135;Pug;n02110958
106;Newfoundland;n02111277
79;Great pyrenees;n02111500
123;Pomeranian;n02112018
51;Chow chow;n02112137
92;Keeshond;n02112350
38;Brussels griffon;n02112497
118;Pembroke welsh corgi;n02113023
45;Cardigan welsh corgi;n02113186
124;Poodle;n02113335
48;Chihuahua;n08742455
37;Brittany;n08941208
